diameter_mm,ctc_mm,scale,volume_cc,equivalent_diameter_mm,phase_id,vertex_count,min_spacing_mm,spacing_error_mm,min_extra_clearance_mm,analytic_sphere_volume_cc,status
20.0,40.0,1.35,1524.505,142.794,2,16,40.000000,-0.000000,1.949799,4.188790,PASS
20.0,40.0,1.35,1524.505,142.794,3,16,40.000000,-0.000000,3.414276,4.188790,PASS
20.0,40.0,1.35,1524.505,142.794,4,16,40.000000,-0.000000,1.714233,4.188790,PASS
20.0,40.0,1.60,2537.976,169.237,0,26,40.000000,-0.000000,0.706940,4.188790,PASS
20.0,40.0,1.60,2537.976,169.237,1,29,40.000000,-0.000000,0.879364,4.188790,PASS
20.0,40.0,1.60,2537.976,169.237,2,27,40.000000,-0.000000,0.610382,4.188790,PASS
20.0,40.0,1.60,2537.976,169.237,3,22,40.000000,0.000000,3.113983,4.188790,PASS
20.0,40.0,1.60,2537.976,169.237,4,25,40.000000,-0.000000,0.762115,4.188790,PASS
20.0,45.0,0.75,261.403,79.330,0,1,NaN,NaN,16.817322,4.188790,NO_LATTICE
20.0,45.0,0.75,261.403,79.330,1,1,NaN,NaN,15.872498,4.188790,NO_LATTICE
20.0,45.0,0.75,261.403,79.330,2,1,NaN,NaN,11.943512,4.188790,NO_LATTICE
20.0,45.0,0.75,261.403,79.330,3,1,NaN,NaN,15.755768,4.188790,NO_LATTICE
20.0,45.0,0.75,261.403,79.330,4,1,NaN,NaN,11.006927,4.188790,NO_LATTICE
20.0,45.0,0.95,531.249,100.485,0,2,47.711592,2.711592,1.230499,4.188790,PASS
20.0,45.0,0.95,531.249,100.485,1,2,47.084755,2.084755,0.884247,4.188790,PASS
20.0,45.0,0.95,531.249,100.485,2,2,49.185769,4.185769,1.049927,4.188790,PASS
20.0,45.0,0.95,531.249,100.485,3,2,49.597891,4.597891,1.230499,4.188790,PASS
20.0,45.0,0.95,531.249,100.485,4,1,NaN,NaN,19.920685,4.188790,NO_LATTICE
20.0,45.0,1.15,942.369,121.639,0,4,45.000000,-0.000000,1.245422,4.188790,PASS
20.0,45.0,1.15,942.369,121.639,1,4,45.000000,-0.000000,2.255859,4.188790,PASS
20.0,45.0,1.15,942.369,121.639,2,6,45.000000,-0.000000,0.566315,4.188790,PASS
20.0,45.0,1.15,942.369,121.639,3,4,45.000000,0.000000,1.492157,4.188790,PASS
20.0,45.0,1.15,942.369,121.639,4,5,45.000000,-0.000000,0.324280,4.188790,PASS
20.0,45.0,1.35,1524.505,142.794,0,14,45.000000,-0.000000,1.373657,4.188790,PASS
20.0,45.0,1.35,1524.505,142.794,1,15,45.000000,-0.000000,0.771973,4.188790,PASS
20.0,45.0,1.35,1524.505,142.794,2,12,45.000000,-0.000000,2.997070,4.188790,PASS
20.0,45.0,1.35,1524.505,142.794,3,13,45.000000,-0.000000,2.236450,4.188790,PASS
20.0,45.0,1.35,1524.505,142.794,4,14,45.000000,-0.000000,0.610199,4.188790,PASS
20.0,45.0,1.60,2537.976,169.237,0,18,45.000000,-0.000000,1.044891,4.188790,PASS
20.0,45.0,1.60,2537.976,169.237,1,18,45.000000,-0.000000,0.775909,4.188790,PASS
20.0,45.0,1.60,2537.976,169.237,2,20,45.000000,-0.000000,0.610382,4.188790,PASS
20.0,45.0,1.60,2537.976,169.237,3,18,45.000000,-0.000000,0.603485,4.188790,PASS
20.0,45.0,1.60,2537.976,169.237,4,22,45.000000,-0.000000,1.575958,4.188790,PASS
20.0,50.0,0.75,261.403,79.330,0,1,NaN,NaN,16.817322,4.188790,NO_LATTICE
20.0,50.0,0.75,261.403,79.330,1,1,NaN,NaN,15.872498,4.188790,NO_LATTICE
20.0,50.0,0.75,261.403,79.330,2,1,NaN,NaN,11.943512,4.188790,NO_LATTICE
20.0,50.0,0.75,261.403,79.330,3,1,NaN,NaN,15.755768,4.188790,NO_LATTICE
20.0,50.0,0.75,261.403,79.330,4,1,NaN,NaN,11.006927,4.188790,NO_LATTICE
20.0,50.0,0.95,531.249,100.485,0,1,NaN,NaN,25.302490,4.188790,NO_LATTICE
20.0,50.0,0.95,531.249,100.485,1,1,NaN,NaN,24.539246,4.188790,NO_LATTICE
20.0,50.0,0.95,531.249,100.485,2,2,53.092541,3.092541,0.832123,4.188790,PASS
20.0,50.0,0.95,531.249,100.485,3,1,NaN,NaN,24.436859,4.188790,NO_LATTICE
20.0,50.0,0.95,531.249,100.485,4,1,NaN,NaN,19.920685,4.188790,NO_LATTICE
20.0,50.0,1.15,942.369,121.639,0,2,50.000000,-0.000000,1.151428,4.188790,PASS
20.0,50.0,1.15,942.369,121.639,1,2,55.073271,5.073271,1.550903,4.188790,PASS
20.0,50.0,1.15,942.369,121.639,2,2,50.000000,-0.000000,3.903107,4.188790,PASS
20.0,50.0,1.15,942.369,121.639,3,2,50.000000,-0.000000,3.834961,4.188790,PASS
20.0,50.0,1.15,942.369,121.639,4,3,50.000000,-0.000000,1.221924,4.188790,PASS
20.0,50.0,1.35,1524.505,142.794,0,8,50.000000,-0.000000,0.723724,4.188790,PASS
20.0,50.0,1.35,1524.505,142.794,1,8,50.000000,-0.000000,0.871307,4.188790,PASS
20.0,50.0,1.35,1524.505,142.794,2,9,50.000000,-0.000000,2.117249,4.188790,PASS
20.0,50.0,1.35,1524.505,142.794,3,8,50.000000,-0.000000,1.061462,4.188790,PASS
20.0,50.0,1.35,1524.505,142.794,4,7,50.000000,-0.000000,0.837250,4.188790,PASS
20.0,50.0,1.60,2537.976,169.237,0,17,50.000000,-0.000000,2.203583,4.188790,PASS
20.0,50.0,1.60,2537.976,169.237,1,17,50.000000,-0.000000,0.955231,4.188790,PASS
20.0,50.0,1.60,2537.976,169.237,2,16,50.000000,-0.000000,3.393311,4.188790,PASS
20.0,50.0,1.60,2537.976,169.237,3,16,50.000000,-0.000000,4.441650,4.188790,PASS
20.0,50.0,1.60,2537.976,169.237,4,16,50.000000,-0.000000,2.558777,4.188790,PASS
